No,Arab,Buckwalter,Awalan,Akhiran,Pola,Root,Wazan,Dhomir,Fiil,Pola Wazan,Keterangan
1,يُذْكَرَ,yu*okara,,,|uoa|,y*k,null,null,null,au,passive
2,يُقْتَلُ,yuqotalu,,,|uoa|,yqt,null,null,null,au,passive
3,تُرْجَعُ,turojaEu,,,|uoa|,trj,null,null,null,au,passive
4,تُرْجَعُ,turojaEu,,,|uoa|,trj,null,null,null,au,passive
5,ثُقِفُ,vuqifu,,,|uiu|,vqf,null,null,null,au,passive
6,يُكْفَرُ,yukofaru,,,|uoa|,ykf,null,null,null,au,passive
7,يُقْتَلْ,yuqotalo,,,|uoa|,yqt,null,null,null,au,passive
8,يُكْفَرُ,yukofaru,,,|uoa|,ykf,null,null,null,au,passive
9,يُصْرَفْ,yuSorafo,,,|uoa|,ySr,null,null,null,au,passive
10,يُحْشَرُ,yuHo$aru,,,|uoa|,yH$,null,null,null,au,passive
11,يُنفَخُ,yunfaxu,,,|ufx|,yna,null,null,null,au,passive
12,يُذْكَرِ,yu*okari,,,|uoa|,y*k,null,null,null,au,passive
13,يُغْفَرُ,yugofaru,,,|uoa|,ygf,null,null,null,au,passive
14,يُغْفَرْ,yugofaro,,,|uoa|,ygf,null,null,null,au,passive
15,تُرْجَعُ,turojaEu,,,|uoa|,trj,null,null,null,au,passive
16,يُرْجَعُ,yurojaEu,,,|uoa|,yrj,null,null,null,au,passive
17,يُصْلَبُ,yuSolabu,,,|uoa|,ySl,null,null,null,au,passive
18,يُبْعَثُ,yuboEavu,,,|uoa|,ybE,null,null,null,au,passive
19,أُبْعَثُ,>uboEavu,,,|uoa|,>bE,null,null,null,au,passive
20,تُصْنَعَ,tuSonaEa,,,|uoa|,tSn,null,null,null,au,passive
21,يُحْشَرَ,yuHo$ara,,,|uoa|,yH$,null,null,null,au,passive
22,يُنفَخُ,yunfaxu,,,|ufx|,yna,null,null,null,au,passive
23,تُظْلَمُ,tuZolamu,,,|uoa|,tZl,null,null,null,au,passive
24,يُذْكَرُ,yu*okaru,,,|uoa|,y*k,null,null,null,au,passive
25,قُتِلُ,qutilu,,,|uiu|,qtl,null,null,null,au,passive
26,تُرْجَعُ,turojaEu,,,|uoa|,trj,null,null,null,au,passive
27,يُعْلَمَ,yuEolama,,,|uoa|,yEl,null,null,null,au,passive
28,تُرْفَعَ,turofaEa,,,|uoa|,trf,null,null,null,au,passive
29,يُذْكَرَ,yu*okara,,,|uoa|,y*k,null,null,null,au,passive
30,يُنفَخُ,yunfaxu,,,|ufx|,yna,null,null,null,au,passive
31,يُتْرَكُ,yutoraku,,,|uoa|,ytr,null,null,null,au,passive
32,غُلِبَتِ,gulibati,,تِ,|uia|ti,glb,null,null,null,au,passive
33,ثُقِفُ,vuqifu,,,|uiu|,vqf,null,null,null,au,passive
34,تُرْجَعُ,turojaEu,,,|uoa|,trj,null,null,null,au,passive
35,يُحْمَلْ,yuHomalo,,,|uoa|,yHm,null,null,null,au,passive
36,تُظْلَمُ,tuZolamu,,,|uoa|,tZl,null,null,null,au,passive
37,يُحْشَرُ,yuHo$aru,,,|uoa|,yH$,null,null,null,au,passive
38,تُكْتَبُ,tukotabu,,,|uoa|,tkt,null,null,null,au,passive
39,يُفْرَقُ,yuforaqu,,,|uoa|,yfr,null,null,null,au,passive
40,يُفْعَلُ,yufoEalu,,,|uoa|,yfE,null,null,null,au,passive
41,يُهْزَمُ,yuhozamu,,,|uoa|,yhz,null,null,null,au,passive
42,يُعْرَفُ,yuEorafu,,,|uoa|,yEr,null,null,null,au,passive
43,تُرْجَعُ,turojaEu,,,|uoa|,trj,null,null,null,au,passive
44,تُبْعَثُ,tuboEavu,,,|uoa|,tbE,null,null,null,au,passive
45,يُكْشَفُ,yuko$afu,,,|uoa|,yk$,null,null,null,au,passive
46,حُمِلَتِ,Humilati,,تِ,|uia|ti,Hml,null,null,null,au,passive
47,يُفْعَلَ,yufoEala,,,|uoa|,yfE,null,null,null,au,passive
48,يُتْرَكَ,yutoraka,,,|uoa|,ytr,null,null,null,au,passive
49,يُنفَخُ,yunfaxu,,,|ufx|,yna,null,null,null,au,passive
50,فُتِحَتِ,futiHati,,تِ,|uia|ti,ftH,null,null,null,au,passive
51,يُخْلَقْ,yuxolaqo,,,|uoa|,yxl,null,null,null,au,passive
52,يُن[بَذَ,yun[ba*a,,,|u[a|,ynb,null,null,null,au,passive
